Project Name,Category,Project Link,Project Twitter,Creator Twitter,Notes
ARKLE,nft,https://www.arklelab.xyz,https://x.com/0xarkle,,
UnitFlow Finance,Dex,https://www.unitflow.finance/,https://x.com/unitflowFinance,,
https://www.xylonet.xyz/,Payments,https://www.xylonet.xyz/,https://x.com/Xylonet_,,
https://dibs-pro-dashboard-vv2.vercel.app/,Blockchain,https://dibs-pro-dashboard-vv2.vercel.app/,,https://x.com/dibwuru,
SynArc,Dashboard,https://www.synarcdao.xyz/dashboard,https://x.com/SynArc_,,
Flow On Arc,defi,https://flowonarc.xyz/,https://x.com/flowOnArc,https://x.com/heyeren_,
ARCRUNNER,Game,https://arcrunner-a-super-mario-game-on-arc.vercel.app/,,https://x.com/SamirAhame96036,
ArcPay,Payments,https://arcpay-flax.vercel.app/,,https://x.com/alisheraz0ev,
Push Chain,Payments,https://portal.push.org/,https://x.com/PushChain,,
Arc Academy Agent,Game,https://arc-academy-agent.vercel.app/,,https://x.com/MikailOzturk_,
SafeTrade,Dex,https://arc-safetrade.vercel.app/,,https://x.com/MikailOzturk_,
https://arcvote-one.vercel.app/arc-dapp.html#,Dashboard,https://arcvote-one.vercel.app/arc-dapp.html,,https://x.com/Dnyelfy,
radon,defi,https://radon-dapp.vercel.app/,,https://x.com/bliss_loaded,
Clinch,Payments,https://clinch-one.vercel.app/,,https://x.com/Zubby_crypt,
Agent Hub,Payments,https://arc-agent-hub-ten.vercel.app/,,https://x.com/Jaehaerys_Pugal,
ArcPay,Payments,https://arc-remittance.vercel.app/,https://x.com/ArcPay2805,https://x.com/Sam_50506,
Arc Pilot,Dashboard,https://web-self-nine-65.vercel.app/,,https://x.com/HoaTranRom,
Blue,Payments,https://blue-dapp.vercel.app/,,https://x.com/tonyfer291,
https://arcdailylotto.fun/#,Game,https://arcdailylotto.fun/,,https://x.com/BenyaminStyles,
BountyBoard,Payments,https://www.arcbountyboard.xyz/,https://x.com/BountyBoardArc,https://x.com/Femi_J1,
ArcInvoice,Payments,https://arc-invoice-mu.vercel.app/,,https://x.com/josephtty17,
SPARROW,defi,https://onesparrow.io/,https://x.com/onesparrowio,https://x.com/nagaisama,
ARC WALLET,wallet,https://arc-appkit.vercel.app/,,https://x.com/OMPRAKASHROUT19,
ArcRed,Payments,https://arc-payment-app-5lzi.vercel.app/,,https://x.com/0xSessho,
https://arc-grade.vercel.app/,Blockchain,https://arc-grade.vercel.app/,https://x.com/arcgrade_,https://x.com/0xtusher_,
KudiArc,Dex,https://intro.kudiarc.xyz/,https://x.com/KudiArc,https://x.com/Musa_Ais,
Vitael,defi,https://www.vitael.xyz/,https://x.com/Vitael_xyz,,
ACTFUN,Dex,https://actfun.xyz/,https://x.com/ACTFUNXYZ,https://x.com/amathxbt,
"Bento ",defi,https://bentoarc.vercel.app/,,https://x.com/liemdak,
Bubble,Payments,https://www.bubblearc.xyz/,,https://x.com/liemdak,
Snake DEX,Dex,https://serpent-swap.lovable.app/,,https://x.com/Adiwijaya529Adi,
SWAPARC,Dex,https://www.swaparc.app/,https://x.com/swaparc_app,https://x.com/0xVincentee,
LiQuira Labs,Blockchain,https://app.liquiralabs.online/,https://x.com/LiQuiraHQ,,
https://circlepay-ng.vercel.app/wallet,Payments,https://circlepay-ng.vercel.app/wallet,https://x.com/CirclePay_NG,,
VitArc,AI,https://vitarc.vercel.app/,,https://x.com/sophmayor,
ArcVault OS,defi,https://arcvault-wallet.vercel.app/,,https://x.com/pawansatoshix,
AuraTip,Payments,https://auratip.vercel.app/,,https://x.com/ChrisGold__,
